Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2019,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,204,F,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,2283.6
2020,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,204,F,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,2276.4
2021,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,204,F,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,2373.8
2022,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,204,F,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,2482.3
2015,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,204,M,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,1676.4
2016,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,204,M,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,2008.1
2017,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,204,M,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,2152.4
2018,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,204,M,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,2205.2
2019,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,204,M,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,2212.9
2020,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,204,M,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,2209.7
2021,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,204,M,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,2306.9
2022,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,204,M,Y_GE15,NUMBER,2025-03-24T00:00:00,2022-2024,2381.2
2015,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,204,None,None,PT,2025-03-24T00:00:00,2022-2024,10.4
2016,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,204,None,None,PT,2025-03-24T00:00:00,2022-2024,13.1
2017,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,204,None,None,PT,2025-03-24T00:00:00,2022-2024,14.4
2018,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,204,None,None,PT,2025-03-24T00:00:00,2022-2024,14.8
2019,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,204,None,None,PT,2025-03-24T00:00:00,2022-2024,14.7
2020,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,204,None,None,PT,2025-03-24T00:00:00,2022-2024,14.5
2021,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,204,None,None,PT,2025-03-24T00:00:00,2022-2024,15.4
