Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,PRODUCT,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2005,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,24,None,PT,2025-03-26T00:00:00,2023,55.26127
2010,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,24,None,PT,2025-03-26T00:00:00,2023,61.62383
2015,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,24,None,PT,2025-03-26T00:00:00,2023,65.2043
2016,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,24,None,PT,2025-03-26T00:00:00,2023,56.66293
2017,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,24,None,PT,2025-03-26T00:00:00,2023,45.98005
2018,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,24,None,PT,2025-03-26T00:00:00,2023,46.30015
2019,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,24,None,PT,2025-03-26T00:00:00,2023,47.2562
2020,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,24,None,PT,2025-03-26T00:00:00,2023,46.3035
2021,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,24,None,PT,2025-03-26T00:00:00,2023,45.31637
2022,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,24,None,PT,2025-03-26T00:00:00,2023,39.05152
2023,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,24,None,PT,2025-03-26T00:00:00,2023,37.17949
2005,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,24,AGG_AGR,PT,2025-03-26T00:00:00,2023,40.0
2010,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,24,AGG_AGR,PT,2025-03-26T00:00:00,2023,47.82609
2015,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,24,AGG_AGR,PT,2025-03-26T00:00:00,2023,52.05479
2016,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,24,AGG_AGR,PT,2025-03-26T00:00:00,2023,47.25275
2017,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,24,AGG_AGR,PT,2025-03-26T00:00:00,2023,34.85714
2018,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,24,AGG_AGR,PT,2025-03-26T00:00:00,2023,34.68208
2019,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,24,AGG_AGR,PT,2025-03-26T00:00:00,2023,41.66667
2020,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,24,AGG_AGR,PT,2025-03-26T00:00:00,2023,28.04233
2021,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,24,AGG_AGR,PT,2025-03-26T00:00:00,2023,30.36649
2022,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,24,AGG_AGR,PT,2025-03-26T00:00:00,2023,21.36223
2023,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,24,AGG_AGR,PT,2025-03-26T00:00:00,2023,26.82292
2015,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,24,AGG_ARMS,PT,2025-03-26T00:00:00,2023,33.33333
2016,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,24,AGG_ARMS,PT,2025-03-26T00:00:00,2023,33.33333
2019,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,24,AGG_ARMS,PT,2025-03-26T00:00:00,2023,0.0
