Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,24,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,49.9
2001,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,24,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,48.9
2002,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,24,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,47.7
2003,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,24,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,46.3
2004,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,24,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,44.8
2005,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,24,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,43.3
2006,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,24,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,41.7
2007,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,24,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,40.3
2008,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,24,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,38.9
2009,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,24,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,37.5
2010,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,24,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,36.2
2011,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,24,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,35.0
2012,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,24,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,33.8
2013,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,24,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,32.7
2014,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,24,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,31.7
2015,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,24,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,30.7
2016,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,24,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,29.8
2017,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,24,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,29.1
2018,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,24,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,28.4
2019,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,24,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,27.9
2020,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,24,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,27.3
2021,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,24,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,26.6
2022,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,24,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,26.1
2023,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,24,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,25.6
2000,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,24,M0,NUMBER,2025-03-19T00:00:00,2023,37819.0
2001,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,24,M0,NUMBER,2025-03-19T00:00:00,2023,38209.0
2002,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,24,M0,NUMBER,2025-03-19T00:00:00,2023,38513.0
2003,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,24,M0,NUMBER,2025-03-19T00:00:00,2023,38618.0
2004,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,24,M0,NUMBER,2025-03-19T00:00:00,2023,38626.0
2005,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,24,M0,NUMBER,2025-03-19T00:00:00,2023,38620.0
2006,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,24,M0,NUMBER,2025-03-19T00:00:00,2023,38420.0
2007,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,24,M0,NUMBER,2025-03-19T00:00:00,2023,38314.0
2008,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,24,M0,NUMBER,2025-03-19T00:00:00,2023,38131.0
2009,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,24,M0,NUMBER,2025-03-19T00:00:00,2023,37919.0
2010,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,24,M0,NUMBER,2025-03-19T00:00:00,2023,37614.0
2011,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,24,M0,NUMBER,2025-03-19T00:00:00,2023,37349.0
2012,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,24,M0,NUMBER,2025-03-19T00:00:00,2023,37102.0
2013,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,24,M0,NUMBER,2025-03-19T00:00:00,2023,36780.0
2014,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,24,M0,NUMBER,2025-03-19T00:00:00,2023,36520.0
2015,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,24,M0,NUMBER,2025-03-19T00:00:00,2023,36167.0
2016,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,24,M0,NUMBER,2025-03-19T00:00:00,2023,35832.0
2017,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,24,M0,NUMBER,2025-03-19T00:00:00,2023,35654.0
2018,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,24,M0,NUMBER,2025-03-19T00:00:00,2023,35562.0
2019,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,24,M0,NUMBER,2025-03-19T00:00:00,2023,35625.0
2020,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,24,M0,NUMBER,2025-03-19T00:00:00,2023,35675.0
2021,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,24,M0,NUMBER,2025-03-19T00:00:00,2023,35550.0
