From,To
OBS_STATUS,UNIT_MULT
UNIT_MULT,COMMENT_OBS
COMMENT_OBS,UPPER_BOUND
UPPER_BOUND,LOWER_BOUND
LOWER_BOUND,SOURCE_DETAIL
SOURCE_DETAIL,REF_AREA
REF_AREA,CUST_BREAKDOWN
CUST_BREAKDOWN,CUST_BREAKDOWN_LB
CUST_BREAKDOWN_LB,TIME_DETAIL
