Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,Based on data from IDREA. Estimated from unit-record consumption data.,World Bank's Poverty and Inequality Platform,SI_POV_50MI,24,B50,PT,2025-04-29T00:00:00,2018,23
2008,A,0,Based on data from IDREA. Estimated from unit-record consumption data.,World Bank's Poverty and Inequality Platform,SI_POV_50MI,24,B50,PT,2025-04-29T00:00:00,2018,17
2018,A,0,Based on data from IDREA. Estimated from unit-record consumption data.,World Bank's Poverty and Inequality Platform,SI_POV_50MI,24,B50,PT,2025-04-29T00:00:00,2018,23
