Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,OCCUPATION,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2019,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: AGO - Kwanza (AOA),LFS - Employment Survey,SL_EMP_EARN,24,M,Y_GE15,ISCO08_4,CUR_LCU,2025-03-15T00:00:00,2021,734.34
2021,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: AGO - Kwanza (AOA),LFS - Employment Survey,SL_EMP_EARN,24,M,Y_GE15,ISCO08_4,CUR_LCU,2025-03-15T00:00:00,2021,621.68
2019,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: AGO - Kwanza (AOA),LFS - Employment Survey,SL_EMP_EARN,24,M,Y_GE15,ISCO08_5,CUR_LCU,2025-03-15T00:00:00,2021,418.04
2021,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: AGO - Kwanza (AOA),LFS - Employment Survey,SL_EMP_EARN,24,M,Y_GE15,ISCO08_5,CUR_LCU,2025-03-15T00:00:00,2021,383.08
2019,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: AGO - Kwanza (AOA),LFS - Employment Survey,SL_EMP_EARN,24,M,Y_GE15,ISCO08_6,CUR_LCU,2025-03-15T00:00:00,2021,282.1
2021,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: AGO - Kwanza (AOA),LFS - Employment Survey,SL_EMP_EARN,24,M,Y_GE15,ISCO08_6,CUR_LCU,2025-03-15T00:00:00,2021,160.54
2019,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: AGO - Kwanza (AOA),LFS - Employment Survey,SL_EMP_EARN,24,M,Y_GE15,ISCO08_7,CUR_LCU,2025-03-15T00:00:00,2021,406.53
2021,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: AGO - Kwanza (AOA),LFS - Employment Survey,SL_EMP_EARN,24,M,Y_GE15,ISCO08_7,CUR_LCU,2025-03-15T00:00:00,2021,236.76
2019,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: AGO - Kwanza (AOA),LFS - Employment Survey,SL_EMP_EARN,24,M,Y_GE15,ISCO08_8,CUR_LCU,2025-03-15T00:00:00,2021,299.64
2021,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: AGO - Kwanza (AOA),LFS - Employment Survey,SL_EMP_EARN,24,M,Y_GE15,ISCO08_8,CUR_LCU,2025-03-15T00:00:00,2021,281.46
2019,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: AGO - Kwanza (AOA),LFS - Employment Survey,SL_EMP_EARN,24,M,Y_GE15,ISCO08_9,CUR_LCU,2025-03-15T00:00:00,2021,273.48
2021,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: AGO - Kwanza (AOA),LFS - Employment Survey,SL_EMP_EARN,24,M,Y_GE15,ISCO08_9,CUR_LCU,2025-03-15T00:00:00,2021,286.39
