Year,OBS_STATUS,UNIT_MULT,BASE_PER,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,24,PT,2025-03-13T00:00:00,2023,-0.3
2001,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,24,PT,2025-03-13T00:00:00,2023,-0.3
2002,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,24,PT,2025-03-13T00:00:00,2023,10.7
2003,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,24,PT,2025-03-13T00:00:00,2023,-0.5
2004,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,24,PT,2025-03-13T00:00:00,2023,7.0
2005,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,24,PT,2025-03-13T00:00:00,2023,10.9
2006,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,24,PT,2025-03-13T00:00:00,2023,7.6
2007,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,24,PT,2025-03-13T00:00:00,2023,9.8
2008,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,24,PT,2025-03-13T00:00:00,2023,7.0
2009,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,24,PT,2025-03-13T00:00:00,2023,-2.9
2010,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,24,PT,2025-03-13T00:00:00,2023,0.9
2011,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,24,PT,2025-03-13T00:00:00,2023,-0.5
2012,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,24,PT,2025-03-13T00:00:00,2023,4.4
2013,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,24,PT,2025-03-13T00:00:00,2023,1.0
2014,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,24,PT,2025-03-13T00:00:00,2023,1.0
2015,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,24,PT,2025-03-13T00:00:00,2023,-2.7
2016,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,24,PT,2025-03-13T00:00:00,2023,-6.0
2017,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,24,PT,2025-03-13T00:00:00,2023,-3.6
2018,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,24,PT,2025-03-13T00:00:00,2023,-4.7
2019,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,24,PT,2025-03-13T00:00:00,2023,-4.0
2020,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,24,PT,2025-03-13T00:00:00,2023,-8.7
2021,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,24,PT,2025-03-13T00:00:00,2023,-2.0
2022,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,24,PT,2025-03-13T00:00:00,2023,-0.2
2023,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,24,PT,2025-03-13T00:00:00,2023,-2.0
