Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,DISABILITY_STATUS,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2011,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,F,Y_GE25,None,PT,2025-03-15T00:00:00,2022,10.12
2014,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,F,Y_GE25,None,PT,2025-03-15T00:00:00,2022,7.01
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,F,Y_GE25,None,PT,2025-03-15T00:00:00,2022,12.15
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,F,Y_GE25,None,PT,2025-03-15T00:00:00,2022,11.9
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,F,Y_GE25,None,PT,2025-03-15T00:00:00,2022,10.31
2004,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,F,Y15T24,None,PT,2025-03-15T00:00:00,2022,57.34
2009,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,F,Y15T24,None,PT,2025-03-15T00:00:00,2022,6.81
2010,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,F,Y15T24,None,PT,2025-03-15T00:00:00,2022,20.86
2011,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,F,Y15T24,None,PT,2025-03-15T00:00:00,2022,36.17
2014,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,F,Y15T24,None,PT,2025-03-15T00:00:00,2022,16.72
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,F,Y15T24,None,PT,2025-03-15T00:00:00,2022,29.07
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,F,Y15T24,None,PT,2025-03-15T00:00:00,2022,27.26
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,F,Y15T24,None,PT,2025-03-15T00:00:00,2022,26.46
2004,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,M,Y_GE15,None,PT,2025-03-15T00:00:00,2022,21.31
2009,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,M,Y_GE15,None,PT,2025-03-15T00:00:00,2022,4.67
2010,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,M,Y_GE15,None,PT,2025-03-15T00:00:00,2022,7.91
2011,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,M,Y_GE15,None,PT,2025-03-15T00:00:00,2022,14.7
2014,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,M,Y_GE15,None,PT,2025-03-15T00:00:00,2022,9.96
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,M,Y_GE15,None,PT,2025-03-15T00:00:00,2022,16.45
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,M,Y_GE15,None,PT,2025-03-15T00:00:00,2022,15.82
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,M,Y_GE15,None,PT,2025-03-15T00:00:00,2022,13.84
2004,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,M,Y_GE25,None,PT,2025-03-15T00:00:00,2022,10.29
2009,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,M,Y_GE25,None,PT,2025-03-15T00:00:00,2022,2.67
2010,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,M,Y_GE25,None,PT,2025-03-15T00:00:00,2022,4.53
2011,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,M,Y_GE25,None,PT,2025-03-15T00:00:00,2022,6.0
2014,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,M,Y_GE25,None,PT,2025-03-15T00:00:00,2022,8.03
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,M,Y_GE25,None,PT,2025-03-15T00:00:00,2022,10.49
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,M,Y_GE25,None,PT,2025-03-15T00:00:00,2022,10.08
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,M,Y_GE25,None,PT,2025-03-15T00:00:00,2022,9.23
2004,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,M,Y15T24,None,PT,2025-03-15T00:00:00,2022,51.13
2009,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,M,Y15T24,None,PT,2025-03-15T00:00:00,2022,11.41
2010,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,M,Y15T24,None,PT,2025-03-15T00:00:00,2022,17.69
2011,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,M,Y15T24,None,PT,2025-03-15T00:00:00,2022,33.2
2014,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,M,Y15T24,None,PT,2025-03-15T00:00:00,2022,17.87
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,M,Y15T24,None,PT,2025-03-15T00:00:00,2022,33.38
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,M,Y15T24,None,PT,2025-03-15T00:00:00,2022,31.9
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,M,Y15T24,None,PT,2025-03-15T00:00:00,2022,26.75
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM_19ICLS,24,None,Y_GE15,None,PT,2025-03-15T00:00:00,2022,18.29
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM_19ICLS,24,None,Y_GE15,None,PT,2025-03-15T00:00:00,2022,17.29
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM_19ICLS,24,None,Y_GE15,None,PT,2025-03-15T00:00:00,2022,15.43
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM_19ICLS,24,None,Y_GE25,None,PT,2025-03-15T00:00:00,2022,12.35
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM_19ICLS,24,None,Y_GE25,None,PT,2025-03-15T00:00:00,2022,11.93
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM_19ICLS,24,None,Y_GE25,None,PT,2025-03-15T00:00:00,2022,10.62
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM_19ICLS,24,None,Y15T24,None,PT,2025-03-15T00:00:00,2022,36.45
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM_19ICLS,24,None,Y15T24,None,PT,2025-03-15T00:00:00,2022,33.4
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM_19ICLS,24,None,Y15T24,None,PT,2025-03-15T00:00:00,2022,29.66
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM_19ICLS,24,F,Y_GE15,None,PT,2025-03-15T00:00:00,2022,18.82
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM_19ICLS,24,F,Y_GE15,None,PT,2025-03-15T00:00:00,2022,17.55
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM_19ICLS,24,F,Y_GE15,None,PT,2025-03-15T00:00:00,2022,16.02
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM_19ICLS,24,F,Y_GE25,None,PT,2025-03-15T00:00:00,2022,13.61
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM_19ICLS,24,F,Y_GE25,None,PT,2025-03-15T00:00:00,2022,13.14
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM_19ICLS,24,F,Y_GE25,None,PT,2025-03-15T00:00:00,2022,11.39
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM_19ICLS,24,F,Y15T24,None,PT,2025-03-15T00:00:00,2022,34.63
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM_19ICLS,24,F,Y15T24,None,PT,2025-03-15T00:00:00,2022,31.02
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM_19ICLS,24,F,Y15T24,None,PT,2025-03-15T00:00:00,2022,29.97
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM_19ICLS,24,M,Y_GE15,None,PT,2025-03-15T00:00:00,2022,17.78
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM_19ICLS,24,M,Y_GE15,None,PT,2025-03-15T00:00:00,2022,17.02
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM_19ICLS,24,M,Y_GE15,None,PT,2025-03-15T00:00:00,2022,14.84
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM_19ICLS,24,M,Y_GE25,None,PT,2025-03-15T00:00:00,2022,11.11
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM_19ICLS,24,M,Y_GE25,None,PT,2025-03-15T00:00:00,2022,10.7
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM_19ICLS,24,M,Y_GE25,None,PT,2025-03-15T00:00:00,2022,9.83
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM_19ICLS,24,M,Y15T24,None,PT,2025-03-15T00:00:00,2022,38.26
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM_19ICLS,24,M,Y15T24,None,PT,2025-03-15T00:00:00,2022,35.74
