Disaggregation,Number of indicators,Number of values
ACTIVITY,8,8
AGE,34,31
BASE_PER,18,6
COMPOSITE_BREAKDOWN,20,108
CUST_BREAKDOWN,9,55
CUST_BREAKDOWN_LB,9,62
DISABILITY_STATUS,1,3
EDUCATION_LEV,5,8
INCOME_WEALTH_QUANTILE,5,9
LOWER_BOUND,19,48
OBS_STATUS,184,6
OCCUPATION,3,16
PRODUCT,5,23
REF_AREA,184,1
SEX,36,5
TIME_DETAIL,184,39
UNIT_MULT,184,4
UPPER_BOUND,19,48
URBANISATION,11,5
