Indicator,Disaggregation combinations using this value
#1-1-1,1
#1-2-2,3
#1-4-1,2
#11-6-2,1
#4-1-2,53
#4-5-1,25
#6-2-1,2
#6-b-1,2
#7-1-1,1
#7-1-2,1
