Indicator,Disaggregation combinations using this value
#1-a-2,1
#11-3-2,1
#14-5-1,1
#14-6-1,1
#14-b-1,1
#15-1-2,2
#15-4-1,1
#15-5-1,1
#15-6-1,3
#16-10-2,1
#16-3-2,1
#16-7-1,4
#16-a-1,2
#17-18-1,1
#17-18-3,1
#17-5-1,5
#2-2-1,6
#2-2-2,6
#2-5-1,2
#2-5-2,5
#5-a-2,1
#6-b-1,4
#8-2-1,1
#9-2-1,2
