Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,CUST_BREAKDOWN,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,CUST_BREAKDOWN_LB,Value
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_IWB,KM2,2025-03-21T00:00:00,2021,,441.6
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_IWB,KM2,2025-03-21T00:00:00,2021,,514.1
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_MGCI,KM2,2025-03-21T00:00:00,2021,,156726.9
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_MGCI,KM2,2025-03-21T00:00:00,2021,,156152.6
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_MGCI,KM2,2025-03-21T00:00:00,2021,,155642.3
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_MGCI,KM2,2025-03-21T00:00:00,2021,,154939.2
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_MGCI,KM2,2025-03-21T00:00:00,2021,,154461.4
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_MGCI,KM2,2025-03-21T00:00:00,2021,,154142.8
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_PSG,KM2,2025-03-21T00:00:00,2021,,0.0
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_PSG,KM2,2025-03-21T00:00:00,2021,,0.0
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_PSG,KM2,2025-03-21T00:00:00,2021,,0.0
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_PSG,KM2,2025-03-21T00:00:00,2021,,0.0
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_PSG,KM2,2025-03-21T00:00:00,2021,,0.0
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_PSG,KM2,2025-03-21T00:00:00,2021,,0.0
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_SAF,KM2,2025-03-21T00:00:00,2021,,562.4
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_SAF,KM2,2025-03-21T00:00:00,2021,,429.4
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_SAF,KM2,2025-03-21T00:00:00,2021,,423.1
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_SAF,KM2,2025-03-21T00:00:00,2021,,385.4
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_SAF,KM2,2025-03-21T00:00:00,2021,,366.2
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_SAF,KM2,2025-03-21T00:00:00,2021,,353.4
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_SHR,KM2,2025-03-21T00:00:00,2021,,4191.4
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_SHR,KM2,2025-03-21T00:00:00,2021,,4876.8
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_SHR,KM2,2025-03-21T00:00:00,2021,,4870.9
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_SHR,KM2,2025-03-21T00:00:00,2021,,4616.2
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_SHR,KM2,2025-03-21T00:00:00,2021,,4407.0
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_SHR,KM2,2025-03-21T00:00:00,2021,,4267.5
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_SNV,KM2,2025-03-21T00:00:00,2021,,531.9
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_SNV,KM2,2025-03-21T00:00:00,2021,,813.3
