Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2014,A,0,Output used as a substitue for missing value added,UNIDO INDSTAT Database. Available at https://stat.unido.org,NV_IND_TECH,24,ISIC4_C,PT,2025-02-27T00:00:00,2022,3.27
2015,A,0,Output used as a substitue for missing value added,UNIDO INDSTAT Database. Available at https://stat.unido.org,NV_IND_TECH,24,ISIC4_C,PT,2025-02-27T00:00:00,2022,2.99
2016,A,0,Output used as a substitue for missing value added,UNIDO INDSTAT Database. Available at https://stat.unido.org,NV_IND_TECH,24,ISIC4_C,PT,2025-02-27T00:00:00,2022,3.53
2017,A,0,Output used as a substitue for missing value added,UNIDO INDSTAT Database. Available at https://stat.unido.org,NV_IND_TECH,24,ISIC4_C,PT,2025-02-27T00:00:00,2022,3.56
2018,A,0,Output used as a substitue for missing value added,UNIDO INDSTAT Database. Available at https://stat.unido.org,NV_IND_TECH,24,ISIC4_C,PT,2025-02-27T00:00:00,2022,3.27
2019,A,0,Output used as a substitue for missing value added,UNIDO INDSTAT Database. Available at https://stat.unido.org,NV_IND_TECH,24,ISIC4_C,PT,2025-02-27T00:00:00,2022,3.29
2020,A,0,Output used as a substitue for missing value added,UNIDO INDSTAT Database. Available at https://stat.unido.org,NV_IND_TECH,24,ISIC4_C,PT,2025-02-27T00:00:00,2022,2.99
2021,A,0,Output used as a substitue for missing value added,UNIDO INDSTAT Database. Available at https://stat.unido.org,NV_IND_TECH,24,ISIC4_C,PT,2025-02-27T00:00:00,2022,3.56
2022,A,0,Output used as a substitue for missing value added,UNIDO INDSTAT Database. Available at https://stat.unido.org,NV_IND_TECH,24,ISIC4_C,PT,2025-02-27T00:00:00,2022,3.56
