Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2013,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,24,PT,2025-03-19T00:00:00,2023,0.026809
2014,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,24,PT,2025-03-19T00:00:00,2023,0.031912
2015,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,24,PT,2025-03-19T00:00:00,2023,0.024924
2016,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,24,PT,2025-03-19T00:00:00,2023,0.013899
2017,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,24,PT,2025-03-19T00:00:00,2023,0.017655
2018,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,24,PT,2025-03-19T00:00:00,2023,0.010256
2019,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,24,PT,2025-03-19T00:00:00,2023,0.00715
2020,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,24,PT,2025-03-19T00:00:00,2023,0.001273
2021,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,24,PT,2025-03-19T00:00:00,2023,0.001476
2022,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,24,PT,2025-03-19T00:00:00,2023,0.001125
2023,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,24,PT,2025-03-19T00:00:00,2023,0.000958
2000,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,24,PT,2025-03-19T00:00:00,2023,0.045695
2001,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,24,PT,2025-03-19T00:00:00,2023,0.049594
2002,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,24,PT,2025-03-19T00:00:00,2023,0.056439
2003,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,24,PT,2025-03-19T00:00:00,2023,0.070448
