Year,OBS_STATUS,UNIT_MULT,BASE_PER,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2003,A,0,2017,"Accessed September 19, 2024. Based on data from EHCVM. Estimated from unit-record consumption data.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,204,None,None,None,PT,2025-05-20T00:00:00,2021,53.1
2011,A,0,2017,"Accessed September 19, 2024. Based on data from EHCVM. Estimated from unit-record consumption data.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,204,None,None,None,PT,2025-05-20T00:00:00,2021,54.3
2015,A,0,2017,"Accessed September 19, 2024. Based on data from EHCVM. Estimated from unit-record consumption data.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,204,None,None,None,PT,2025-05-20T00:00:00,2021,50.7
2018,A,0,2017,"Accessed September 19, 2024. Based on data from EHCVM. Estimated from unit-record consumption data.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,204,None,None,None,PT,2025-05-20T00:00:00,2021,20.1
2021,A,0,2017,"Accessed September 19, 2024. Based on data from EHCVM. Estimated from unit-record consumption data.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,204,None,None,None,PT,2025-05-20T00:00:00,2021,12.7
2018,A,0,2017,"Accessed September 19, 2024. Survey name: EHCVM. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,204,None,None,R,PT,2025-05-20T00:00:00,2021,25.61625
2021,A,0,2017,"Accessed September 19, 2024. Survey name: EHCVM. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,204,None,None,R,PT,2025-05-20T00:00:00,2021,16.49772
2018,A,0,2017,"Accessed September 19, 2024. Survey name: EHCVM. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,204,None,None,U,PT,2025-05-20T00:00:00,2021,13.18147
2021,A,0,2017,"Accessed September 19, 2024. Survey name: EHCVM. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,204,None,None,U,PT,2025-05-20T00:00:00,2021,8.03199
2018,A,0,2017,"Accessed September 19, 2024. Survey name: EHCVM. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,204,None,Y_GE65,None,PT,2025-05-20T00:00:00,2021,15.63818
2021,A,0,2017,"Accessed September 19, 2024. Survey name: EHCVM. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,204,None,Y_GE65,None,PT,2025-05-20T00:00:00,2021,7.84877
2018,A,0,2017,"Accessed September 19, 2024. Survey name: EHCVM. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,204,None,Y0T14,None,PT,2025-05-20T00:00:00,2021,23.9355
2021,A,0,2017,"Accessed September 19, 2024. Survey name: EHCVM. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,204,None,Y0T14,None,PT,2025-05-20T00:00:00,2021,14.94645
2018,A,0,2017,"Accessed September 19, 2024. Survey name: EHCVM. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,204,None,Y15T64,None,PT,2025-05-20T00:00:00,2021,16.59422
2021,A,0,2017,"Accessed September 19, 2024. Survey name: EHCVM. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,204,None,Y15T64,None,PT,2025-05-20T00:00:00,2021,10.68275
2018,A,0,2017,"Accessed September 19, 2024. Survey name: EHCVM. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,204,F,None,None,PT,2025-05-20T00:00:00,2021,20.17832
2021,A,0,2017,"Accessed September 19, 2024. Survey name: EHCVM. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,204,F,None,None,PT,2025-05-20T00:00:00,2021,12.95584
2018,A,0,2017,"Accessed September 19, 2024. Survey name: EHCVM. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,204,M,None,None,PT,2025-05-20T00:00:00,2021,19.98192
2021,A,0,2017,"Accessed September 19, 2024. Survey name: EHCVM. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,204,M,None,None,PT,2025-05-20T00:00:00,2021,12.84374
2003,A,0,,,"ILO modelled estimates, Nov. 2024",SI_POV_EMP1,204,None,Y_GE15,None,PT,2025-03-15T00:00:00,2015,49.14
2015,A,0,,,"ILO modelled estimates, Nov. 2024",SI_POV_EMP1,204,None,Y_GE15,None,PT,2025-03-15T00:00:00,2015,45.53
2003,A,0,,,"ILO modelled estimates, Nov. 2024",SI_POV_EMP1,204,None,Y_GE25,None,PT,2025-03-15T00:00:00,2015,48.01
2015,A,0,,,"ILO modelled estimates, Nov. 2024",SI_POV_EMP1,204,None,Y_GE25,None,PT,2025-03-15T00:00:00,2015,44.04
2003,A,0,,,"ILO modelled estimates, Nov. 2024",SI_POV_EMP1,204,None,Y15T24,None,PT,2025-03-15T00:00:00,2015,52.04
2015,A,0,,,"ILO modelled estimates, Nov. 2024",SI_POV_EMP1,204,None,Y15T24,None,PT,2025-03-15T00:00:00,2015,51.12
2003,A,0,,,"ILO modelled estimates, Nov. 2024",SI_POV_EMP1,204,F,Y_GE15,None,PT,2025-03-15T00:00:00,2015,49.56
2015,A,0,,,"ILO modelled estimates, Nov. 2024",SI_POV_EMP1,204,F,Y_GE15,None,PT,2025-03-15T00:00:00,2015,36.37
2003,A,0,,,"ILO modelled estimates, Nov. 2024",SI_POV_EMP1,204,F,Y_GE25,None,PT,2025-03-15T00:00:00,2015,49.35
2015,A,0,,,"ILO modelled estimates, Nov. 2024",SI_POV_EMP1,204,F,Y_GE25,None,PT,2025-03-15T00:00:00,2015,34.23
2003,A,0,,,"ILO modelled estimates, Nov. 2024",SI_POV_EMP1,204,F,Y15T24,None,PT,2025-03-15T00:00:00,2015,50.07
2015,A,0,,,"ILO modelled estimates, Nov. 2024",SI_POV_EMP1,204,F,Y15T24,None,PT,2025-03-15T00:00:00,2015,43.65
