Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2004,A,0,IMF,FB_ATM_TOTL,24,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,0.83759538
2005,A,0,IMF,FB_ATM_TOTL,24,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,1.424140859
2006,A,0,IMF,FB_ATM_TOTL,24,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,2.973378292
2007,A,0,IMF,FB_ATM_TOTL,24,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,4.301881729
2008,A,0,IMF,FB_ATM_TOTL,24,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,6.091216865
2009,A,0,IMF,FB_ATM_TOTL,24,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,8.147069757
2010,A,0,IMF,FB_ATM_TOTL,24,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,10.16859515
2011,A,0,IMF,FB_ATM_TOTL,24,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,12.37682721
2012,A,0,IMF,FB_ATM_TOTL,24,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,14.73807427
2013,A,0,IMF,FB_ATM_TOTL,24,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,16.45622813
2014,A,0,IMF,FB_ATM_TOTL,24,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,17.59634833
2015,A,0,IMF,FB_ATM_TOTL,24,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,18.19540038
2016,A,0,IMF,FB_ATM_TOTL,24,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,18.394238
2017,A,0,IMF,FB_ATM_TOTL,24,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,18.42753339
2018,A,0,IMF,FB_ATM_TOTL,24,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,18.20935616
2019,A,0,IMF,FB_ATM_TOTL,24,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,17.69858377
2020,A,0,IMF,FB_ATM_TOTL,24,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,17.21801602
2021,A,0,IMF,FB_ATM_TOTL,24,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,17.16601786
2022,A,0,IMF,FB_ATM_TOTL,24,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,16.32210202
2023,A,0,IMF,FB_ATM_TOTL,24,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,17.52400871
2004,A,0,IMF,FB_CBK_BRCH,24,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,1.773731393
2005,A,0,IMF,FB_CBK_BRCH,24,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,2.193176922
2006,A,0,IMF,FB_CBK_BRCH,24,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,3.302737118
2007,A,0,IMF,FB_CBK_BRCH,24,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,3.781777176
2008,A,0,IMF,FB_CBK_BRCH,24,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,4.545050241
2009,A,0,IMF,FB_CBK_BRCH,24,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,5.092942099
2010,A,0,IMF,FB_CBK_BRCH,24,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,7.233981189
2011,A,0,IMF,FB_CBK_BRCH,24,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,8.144848843
2012,A,0,IMF,FB_CBK_BRCH,24,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,8.766739313
2013,A,0,IMF,FB_CBK_BRCH,24,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,10.05423364
2014,A,0,IMF,FB_CBK_BRCH,24,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,10.01816046
2015,A,0,IMF,FB_CBK_BRCH,24,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,10.08743558
2016,A,0,IMF,FB_CBK_BRCH,24,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,9.933267651
2017,A,0,IMF,FB_CBK_BRCH,24,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,9.87754764
2018,A,0,IMF,FB_CBK_BRCH,24,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,9.659590738
2019,A,0,IMF,FB_CBK_BRCH,24,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,9.084329079
2020,A,0,IMF,FB_CBK_BRCH,24,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,8.543373894
2021,A,0,IMF,FB_CBK_BRCH,24,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,8.035832199
2022,A,0,IMF,FB_CBK_BRCH,24,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,7.583594049
2023,A,0,IMF,FB_CBK_BRCH,24,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,7.156789351
