Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,71.6025,27.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,None,PT,2025-06-18T00:00:00,2023,40.3
2001,A,0,71.6025,27.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,None,PT,2025-06-18T00:00:00,2023,41.0
2002,A,0,71.6025,27.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,None,PT,2025-06-18T00:00:00,2023,41.4
2003,A,0,71.6025,27.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,None,PT,2025-06-18T00:00:00,2023,41.7
2004,A,0,71.6025,27.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,None,PT,2025-06-18T00:00:00,2023,42.1
2005,A,0,71.6025,27.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,None,PT,2025-06-18T00:00:00,2023,42.8
2006,A,0,71.6025,27.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,None,PT,2025-06-18T00:00:00,2023,43.2
2007,A,0,71.6025,27.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,None,PT,2025-06-18T00:00:00,2023,43.35
2008,A,0,71.6025,27.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,None,PT,2025-06-18T00:00:00,2023,43.9
2009,A,0,71.6025,27.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,None,PT,2025-06-18T00:00:00,2023,44.1
2010,A,0,71.6025,27.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,None,PT,2025-06-18T00:00:00,2023,44.7
2011,A,0,71.6025,27.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,None,PT,2025-06-18T00:00:00,2023,44.9
2012,A,0,71.6025,27.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,None,PT,2025-06-18T00:00:00,2023,45.6
2013,A,0,71.6025,27.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,None,PT,2025-06-18T00:00:00,2023,46.1
2014,A,0,71.6025,27.2,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,24,None,PT,2025-06-18T00:00:00,2023,46.8
