Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,PRODUCT,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,24,None,PT,2025-03-26T00:00:00,2023,0.50867
2005,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,24,None,PT,2025-03-26T00:00:00,2023,0.37465
2010,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,24,None,PT,2025-03-26T00:00:00,2023,0.24247
2011,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,24,None,PT,2025-03-26T00:00:00,2023,0.23483
2012,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,24,None,PT,2025-03-26T00:00:00,2023,0.20958
2013,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,24,None,PT,2025-03-26T00:00:00,2023,0.21887
2014,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,24,None,PT,2025-03-26T00:00:00,2023,0.20877
2015,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,24,None,PT,2025-03-26T00:00:00,2023,0.19039
2016,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,24,None,PT,2025-03-26T00:00:00,2023,0.19174
2017,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,24,None,PT,2025-03-26T00:00:00,2023,0.21447
2018,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,24,None,PT,2025-03-26T00:00:00,2023,0.21652
2019,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,24,None,PT,2025-03-26T00:00:00,2023,0.31554
2020,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,24,None,PT,2025-03-26T00:00:00,2023,0.31963
2021,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,24,None,PT,2025-03-26T00:00:00,2023,0.32157
2022,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,24,None,PT,2025-03-26T00:00:00,2023,0.31996
2023,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,24,None,PT,2025-03-26T00:00:00,2023,0.31958
2000,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,24,AGG_AGR,PT,2025-03-26T00:00:00,2023,1.56806
2005,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,24,AGG_AGR,PT,2025-03-26T00:00:00,2023,1.82104
2010,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,24,AGG_AGR,PT,2025-03-26T00:00:00,2023,1.70332
2011,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,24,AGG_AGR,PT,2025-03-26T00:00:00,2023,1.69239
2012,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,24,AGG_AGR,PT,2025-03-26T00:00:00,2023,1.60377
2013,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,24,AGG_AGR,PT,2025-03-26T00:00:00,2023,1.60797
2014,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,24,AGG_AGR,PT,2025-03-26T00:00:00,2023,1.60096
2015,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,24,AGG_AGR,PT,2025-03-26T00:00:00,2023,1.59876
2016,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,24,AGG_AGR,PT,2025-03-26T00:00:00,2023,1.60007
2017,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,24,AGG_AGR,PT,2025-03-26T00:00:00,2023,1.77669
2018,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,24,AGG_AGR,PT,2025-03-26T00:00:00,2023,1.755
2019,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,24,AGG_AGR,PT,2025-03-26T00:00:00,2023,1.72818
2020,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,24,AGG_AGR,PT,2025-03-26T00:00:00,2023,1.72992
2021,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,24,AGG_AGR,PT,2025-03-26T00:00:00,2023,1.73
2022,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,24,AGG_AGR,PT,2025-03-26T00:00:00,2023,1.69004
2023,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,24,AGG_AGR,PT,2025-03-26T00:00:00,2023,1.68683
2000,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,24,AGG_CLTH,PT,2025-03-26T00:00:00,2023,11.26961
2005,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,24,AGG_CLTH,PT,2025-03-26T00:00:00,2023,10.20205
2010,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,24,AGG_CLTH,PT,2025-03-26T00:00:00,2023,10.11891
2011,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,24,AGG_CLTH,PT,2025-03-26T00:00:00,2023,10.07782
2012,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,24,AGG_CLTH,PT,2025-03-26T00:00:00,2023,10.0852
2013,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,24,AGG_CLTH,PT,2025-03-26T00:00:00,2023,10.0812
2014,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,24,AGG_CLTH,PT,2025-03-26T00:00:00,2023,10.07976
2015,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,24,AGG_CLTH,PT,2025-03-26T00:00:00,2023,10.02321
2016,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,24,AGG_CLTH,PT,2025-03-26T00:00:00,2023,10.02231
2017,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,24,AGG_CLTH,PT,2025-03-26T00:00:00,2023,9.91311
