Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,286.36152,116.7182,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,24,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,659.33519
2001,A,0,286.36152,116.7182,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,24,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,628.60635
2002,A,0,286.36152,116.7182,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,24,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,602.37006
2003,A,0,286.36152,116.7182,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,24,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,538.01677
2004,A,0,286.36152,116.7182,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,24,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,498.90897
2005,A,0,286.36152,116.7182,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,24,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,461.90259
2006,A,0,286.36152,116.7182,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,24,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,437.16848
2007,A,0,286.36152,116.7182,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,24,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,401.29864
2008,A,0,286.36152,116.7182,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,24,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,372.2049
2009,A,0,286.36152,116.7182,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,24,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,348.08295
2010,A,0,286.36152,116.7182,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,24,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,321.43374
2011,A,0,286.36152,116.7182,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,24,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,300.58642
2012,A,0,286.36152,116.7182,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,24,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,277.79759
2013,A,0,286.36152,116.7182,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,24,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,266.78504
2014,A,0,286.36152,116.7182,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,24,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,261.73485
2015,A,0,286.36152,116.7182,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,24,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,249.37498
2016,A,0,286.36152,116.7182,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,24,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,235.68782
2017,A,0,286.36152,116.7182,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,24,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,220.30955
2018,A,0,286.36152,116.7182,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,24,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,208.38242
2019,A,0,286.36152,116.7182,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,24,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,201.59268
2020,A,0,286.36152,116.7182,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,24,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,194.82596
2021,A,0,286.36152,116.7182,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,24,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,210.56833
2022,A,0,286.36152,116.7182,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,24,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,184.5931
2023,A,0,286.36152,116.7182,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,24,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,183.20193
