Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,COMMENT_OBS,Value
2005,A,0,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",BN_KLT_PTXL_CD,24,USD,2025-03-19T00:00:00,2023,,1267025849.55
2006,A,0,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",BN_KLT_PTXL_CD,24,USD,2025-03-19T00:00:00,2023,,1439455260.52
2007,A,0,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",BN_KLT_PTXL_CD,24,USD,2025-03-19T00:00:00,2023,,2015419577.22
2008,A,0,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",BN_KLT_PTXL_CD,24,USD,2025-03-19T00:00:00,2023,,1757515638.31
2009,A,0,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",BN_KLT_PTXL_CD,24,USD,2025-03-19T00:00:00,2023,,490109724.9
2010,A,0,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",BN_KLT_PTXL_CD,24,USD,2025-03-19T00:00:00,2023,,270507746.86
2011,A,0,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",BN_KLT_PTXL_CD,24,USD,2025-03-19T00:00:00,2023,,52192360.85
2012,A,0,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",BN_KLT_PTXL_CD,24,USD,2025-03-19T00:00:00,2023,,-472459502.649626
2013,A,0,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",BN_KLT_PTXL_CD,24,USD,2025-03-19T00:00:00,2023,,249715798.74246
2014,A,0,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",BN_KLT_PTXL_CD,24,USD,2025-03-19T00:00:00,2023,,970909344.222005
2015,A,0,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",BN_KLT_PTXL_CD,24,USD,2025-03-19T00:00:00,2023,,-446218016.889951
2016,A,0,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",BN_KLT_PTXL_CD,24,USD,2025-03-19T00:00:00,2023,,-16634132.7257066
2017,A,0,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",BN_KLT_PTXL_CD,24,USD,2025-03-19T00:00:00,2023,,9124489.70549423
2018,A,0,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",BN_KLT_PTXL_CD,24,USD,2025-03-19T00:00:00,2023,,-3652764551.60403
2019,A,0,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",BN_KLT_PTXL_CD,24,USD,2025-03-19T00:00:00,2023,,-1675904716.18983
2020,A,0,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",BN_KLT_PTXL_CD,24,USD,2025-03-19T00:00:00,2023,,-1640362370.62915
2021,A,0,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",BN_KLT_PTXL_CD,24,USD,2025-03-19T00:00:00,2023,,34748540.7937287
2022,A,0,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",BN_KLT_PTXL_CD,24,USD,2025-03-19T00:00:00,2023,,-922852409.411998
2023,A,0,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",BN_KLT_PTXL_CD,24,USD,2025-03-19T00:00:00,2023,,-33451299.1628226
2000,A,0,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",BX_KLT_DINV_WD_GD_ZS,24,PT,2025-03-19T00:00:00,2023,,9.62386615038711
2001,A,0,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",BX_KLT_DINV_WD_GD_ZS,24,PT,2025-03-19T00:00:00,2023,,24.0090757001341
2002,A,0,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",BX_KLT_DINV_WD_GD_ZS,24,PT,2025-03-19T00:00:00,2023,,11.4061919077418
2003,A,0,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",BX_KLT_DINV_WD_GD_ZS,24,PT,2025-03-19T00:00:00,2023,,20.0810144391158
2004,A,0,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",BX_KLT_DINV_WD_GD_ZS,24,PT,2025-03-19T00:00:00,2023,,9.32923929577731
2005,A,0,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",BX_KLT_DINV_WD_GD_ZS,24,PT,2025-03-19T00:00:00,2023,,-3.52665717856752
2006,A,0,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",BX_KLT_DINV_WD_GD_ZS,24,PT,2025-03-19T00:00:00,2023,,-0.072000996349673
2007,A,0,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",BX_KLT_DINV_WD_GD_ZS,24,PT,2025-03-19T00:00:00,2023,,-1.36876239523004
2008,A,0,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",BX_KLT_DINV_WD_GD_ZS,24,PT,2025-03-19T00:00:00,2023,,1.89631389674864
2009,A,0,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",BX_KLT_DINV_WD_GD_ZS,24,PT,2025-03-19T00:00:00,2023,,3.13666068307167
2010,A,0,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",BX_KLT_DINV_WD_GD_ZS,24,PT,2025-03-19T00:00:00,2023,,-3.85111149953586
2011,A,0,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",BX_KLT_DINV_WD_GD_ZS,24,PT,2025-03-19T00:00:00,2023,,-2.70487323645008
2012,A,0,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",BX_KLT_DINV_WD_GD_ZS,24,PT,2025-03-19T00:00:00,2023,,-1.14376777921663
2013,A,0,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",BX_KLT_DINV_WD_GD_ZS,24,PT,2025-03-19T00:00:00,2023,,-5.3801309953635
2014,A,0,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",BX_KLT_DINV_WD_GD_ZS,24,PT,2025-03-19T00:00:00,2023,,2.69000564690096
2015,A,0,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",BX_KLT_DINV_WD_GD_ZS,24,PT,2025-03-19T00:00:00,2023,,11.0813390258994
2016,A,0,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",BX_KLT_DINV_WD_GD_ZS,24,PT,2025-03-19T00:00:00,2023,,-0.340242828705014
2017,A,0,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",BX_KLT_DINV_WD_GD_ZS,24,PT,2025-03-19T00:00:00,2023,,-10.0383767819736
2018,A,0,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",BX_KLT_DINV_WD_GD_ZS,24,PT,2025-03-19T00:00:00,2023,,-8.12589110876485
2019,A,0,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",BX_KLT_DINV_WD_GD_ZS,24,PT,2025-03-19T00:00:00,2023,,-5.78081314286635
2020,A,0,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",BX_KLT_DINV_WD_GD_ZS,24,PT,2025-03-19T00:00:00,2023,,-3.84826398729864
2021,A,0,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",BX_KLT_DINV_WD_GD_ZS,24,PT,2025-03-19T00:00:00,2023,,-6.54854227564072
2022,A,0,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",BX_KLT_DINV_WD_GD_ZS,24,PT,2025-03-19T00:00:00,2023,,-6.32056384328187
2023,A,0,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",BX_KLT_DINV_WD_GD_ZS,24,PT,2025-03-19T00:00:00,2023,,-2.49883975179815
2000,A,0,"World Bank, International Debt Statistics.",DT_DOD_DECT_GN_ZS,24,PT,2025-03-19T00:00:00,2023,,131.075486566154
2001,A,0,"World Bank, International Debt Statistics.",DT_DOD_DECT_GN_ZS,24,PT,2025-03-19T00:00:00,2023,,119.007608419805
