Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2016,A,0,"DHS 2015-16, UNICEF and ILO calculations",SL_TLF_CHLDEA,24,None,Y5T17,PT,2025-07-11T00:00:00,2015-16,9.7
2016,A,0,"DHS 2015-16, UNICEF and ILO calculations",SL_TLF_CHLDEA,24,F,Y5T17,PT,2025-07-11T00:00:00,2015-16,10.4
2016,A,0,"DHS 2015-16, UNICEF and ILO calculations",SL_TLF_CHLDEA,24,M,Y5T17,PT,2025-07-11T00:00:00,2015-16,8.9
2016,A,0,"DHS 2015-16, UNICEF and ILO calculations",SL_TLF_CHLDEC,24,None,Y5T17,PT,2025-07-11T00:00:00,2015-16,18.7
2016,A,0,"DHS 2015-16, UNICEF and ILO calculations",SL_TLF_CHLDEC,24,F,Y5T17,PT,2025-07-11T00:00:00,2015-16,19.9
2016,A,0,"DHS 2015-16, UNICEF and ILO calculations",SL_TLF_CHLDEC,24,M,Y5T17,PT,2025-07-11T00:00:00,2015-16,16.6
