Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,EDUCATION_LEV,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2015,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,24,None,AGG_2_3,PT,2025-03-05T00:00:00,2021,51.48986
2021,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,24,None,AGG_2_3,PT,2025-03-05T00:00:00,2021,92.13913
2010,A,0,Source: UIS Dynamic Template based on ANUARIO ESTATISTICO DA EDUCACAO 2021/2022 (https://www.ine.gov.ao/Arquivos/arquivosCarregados//Carregados/Publicacao_638376077484660214.pdf) Data extracted on 25 February 2025.,SE_TRA_GRDL,24,None,ISCED11_02,PT,2025-03-05T00:00:00,2022,45.14752
2011,A,0,Source: UIS Dynamic Template based on ANUARIO ESTATISTICO DA EDUCACAO 2021/2022 (https://www.ine.gov.ao/Arquivos/arquivosCarregados//Carregados/Publicacao_638376077484660214.pdf) Data extracted on 25 February 2025.,SE_TRA_GRDL,24,None,ISCED11_02,PT,2025-03-05T00:00:00,2022,44.01397
2021,A,0,Source: UIS Dynamic Template based on ANUARIO ESTATISTICO DA EDUCACAO 2021/2022 (https://www.ine.gov.ao/Arquivos/arquivosCarregados//Carregados/Publicacao_638376077484660214.pdf) Data extracted on 25 February 2025.,SE_TRA_GRDL,24,None,ISCED11_02,PT,2025-03-05T00:00:00,2022,83.79885
2022,A,0,Source: UIS Dynamic Template based on ANUARIO ESTATISTICO DA EDUCACAO 2021/2022 (https://www.ine.gov.ao/Arquivos/arquivosCarregados//Carregados/Publicacao_638376077484660214.pdf) Data extracted on 25 February 2025.,SE_TRA_GRDL,24,None,ISCED11_02,PT,2025-03-05T00:00:00,2022,65.18721
2011,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,24,None,ISCED11_1,PT,2025-03-05T00:00:00,2021,47.48642
2021,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,24,None,ISCED11_1,PT,2025-03-05T00:00:00,2021,93.28444
2015,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,24,None,ISCED11_2,PT,2025-03-05T00:00:00,2021,53.52528
2021,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,24,None,ISCED11_2,PT,2025-03-05T00:00:00,2021,94.07889
