Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,EDUCATION_LEV,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2016,A,0,NA Data extracted on 25 February 2025.,SE_ACS_CMPTR,24,AGG_2_3,PT,2025-03-05T00:00:00,2016,31.98847
2016,A,0,NA Data extracted on 25 February 2025.,SE_ACS_CMPTR,24,ISCED11_1,PT,2025-03-05T00:00:00,2016,7.01911
2016,A,0,NA Data extracted on 25 February 2025.,SE_ACS_CMPTR,24,ISCED11_2,PT,2025-03-05T00:00:00,2016,25.33512
2016,A,0,NA Data extracted on 25 February 2025.,SE_ACS_CMPTR,24,ISCED11_3,PT,2025-03-05T00:00:00,2016,48.81356
2016,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACS_ELECT,24,ISCED11_1,PT,2025-03-05T00:00:00,2016,22.35055
2016,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACS_ELECT,24,ISCED11_2,PT,2025-03-05T00:00:00,2016,65.32618
2016,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACS_ELECT,24,ISCED11_3,PT,2025-03-05T00:00:00,2016,71.63842
2016,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACS_H2O,24,ISCED11_1,PT,2025-03-05T00:00:00,2016,19.96747
2016,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACS_H2O,24,ISCED11_2,PT,2025-03-05T00:00:00,2016,53.66399
2016,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACS_H2O,24,ISCED11_3,PT,2025-03-05T00:00:00,2016,59.77401
2016,A,0,NA Data extracted on 25 February 2025.,SE_ACS_INTNT,24,AGG_2_3,PT,2025-03-05T00:00:00,2016,16.74672
2016,A,0,NA Data extracted on 25 February 2025.,SE_ACS_INTNT,24,ISCED11_1,PT,2025-03-05T00:00:00,2016,2.70028
2016,A,0,NA Data extracted on 25 February 2025.,SE_ACS_INTNT,24,ISCED11_2,PT,2025-03-05T00:00:00,2016,13.22609
2016,A,0,NA Data extracted on 25 February 2025.,SE_ACS_INTNT,24,ISCED11_3,PT,2025-03-05T00:00:00,2016,25.64972
