Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,Officially reported data,FAO. Global Forest Resources Assessment 2020 and FAOSTAT,AG_LND_FRST,24,PT,2025-03-21T00:00:00,2020,62.33
2010,A,0,Officially reported data,FAO. Global Forest Resources Assessment 2020 and FAOSTAT,AG_LND_FRST,24,PT,2025-03-21T00:00:00,2020,57.88
2015,A,0,Officially reported data,FAO. Global Forest Resources Assessment 2020 and FAOSTAT,AG_LND_FRST,24,PT,2025-03-21T00:00:00,2020,55.65
2016,A,0,Officially reported data,FAO. Global Forest Resources Assessment 2020 and FAOSTAT,AG_LND_FRST,24,PT,2025-03-21T00:00:00,2020,55.21
2017,A,0,Officially reported data,FAO. Global Forest Resources Assessment 2020 and FAOSTAT,AG_LND_FRST,24,PT,2025-03-21T00:00:00,2020,54.76
2018,A,0,Officially reported data,FAO. Global Forest Resources Assessment 2020 and FAOSTAT,AG_LND_FRST,24,PT,2025-03-21T00:00:00,2020,54.32
2019,A,0,Officially reported data,FAO. Global Forest Resources Assessment 2020 and FAOSTAT,AG_LND_FRST,24,PT,2025-03-21T00:00:00,2020,53.87
2020,A,0,Officially reported data,FAO. Global Forest Resources Assessment 2020 and FAOSTAT,AG_LND_FRST,24,PT,2025-03-21T00:00:00,2020,53.43
2000,A,3,Officially reported data,FAO. Global Forest Resources Assessment 2020,AG_LND_FRSTN,24,HA,2025-03-21T00:00:00,2020,77708.61
2010,A,3,Officially reported data,FAO. Global Forest Resources Assessment 2020,AG_LND_FRSTN,24,HA,2025-03-21T00:00:00,2020,72158.0
2015,A,3,Officially reported data,FAO. Global Forest Resources Assessment 2020,AG_LND_FRSTN,24,HA,2025-03-21T00:00:00,2020,69382.69
2016,A,3,Officially reported data,FAO. Global Forest Resources Assessment 2020,AG_LND_FRSTN,24,HA,2025-03-21T00:00:00,2020,68827.62
2017,A,3,Officially reported data,FAO. Global Forest Resources Assessment 2020,AG_LND_FRSTN,24,HA,2025-03-21T00:00:00,2020,68272.57
2018,A,3,Officially reported data,FAO. Global Forest Resources Assessment 2020,AG_LND_FRSTN,24,HA,2025-03-21T00:00:00,2020,67717.51
2019,A,3,Officially reported data,FAO. Global Forest Resources Assessment 2020,AG_LND_FRSTN,24,HA,2025-03-21T00:00:00,2020,67162.44
2020,A,3,Officially reported data,FAO. Global Forest Resources Assessment 2020,AG_LND_FRSTN,24,HA,2025-03-21T00:00:00,2020,66607.38
2000,A,3,,FAO. FAOSTAT,AG_LND_TOTL,24,HA,2025-03-21T00:00:00,2020,124670.0
2010,A,3,,FAO. FAOSTAT,AG_LND_TOTL,24,HA,2025-03-21T00:00:00,2020,124670.0
2015,A,3,,FAO. FAOSTAT,AG_LND_TOTL,24,HA,2025-03-21T00:00:00,2020,124670.0
2016,A,3,,FAO. FAOSTAT,AG_LND_TOTL,24,HA,2025-03-21T00:00:00,2020,124670.0
2017,A,3,,FAO. FAOSTAT,AG_LND_TOTL,24,HA,2025-03-21T00:00:00,2020,124670.0
2018,A,3,,FAO. FAOSTAT,AG_LND_TOTL,24,HA,2025-03-21T00:00:00,2020,124670.0
2019,A,3,,FAO. FAOSTAT,AG_LND_TOTL,24,HA,2025-03-21T00:00:00,2020,124670.0
2020,A,3,,FAO. FAOSTAT,AG_LND_TOTL,24,HA,2025-03-21T00:00:00,2020,124670.0
