Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2008,A,0,data provided by WB Economists.,Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,24,PT,2025-03-20T00:00:00,2023,89.2322
2009,A,0,data provided by WB Economists.,Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,24,PT,2025-03-20T00:00:00,2023,51.4155
2010,A,0,data provided by WB Economists.,Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,24,PT,2025-03-20T00:00:00,2023,99.9332
2011,A,0,data provided by WB Economists.,Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,24,PT,2025-03-20T00:00:00,2023,102.7823
2012,A,0,data provided by WB Economists.,Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,24,PT,2025-03-20T00:00:00,2023,99.1324
2013,A,0,data provided by WB Economists.,Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,24,PT,2025-03-20T00:00:00,2023,84.9691
2014,A,0,data provided by WB Economists.,Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,24,PT,2025-03-20T00:00:00,2023,83.2961
2015,A,0,data provided by WB Economists.,Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,24,PT,2025-03-20T00:00:00,2023,51.0635
2016,A,0,data provided by WB Economists.,Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,24,PT,2025-03-20T00:00:00,2023,84.7113
2017,A,0,data provided by WB Economists.,Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,24,PT,2025-03-20T00:00:00,2023,92.0762
2018,A,0,data provided by WB Economists.,Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,24,PT,2025-03-20T00:00:00,2023,93.9295
2019,A,0,data provided by WB Economists.,Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,24,PT,2025-03-20T00:00:00,2023,98.3221
2020,A,0,data provided by WB Economists.,Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,24,PT,2025-03-20T00:00:00,2023,99.4469
2021,A,0,data provided by WB Economists.,Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,24,PT,2025-03-20T00:00:00,2023,97.5757
2022,A,0,data provided by WB Economists.,Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,24,PT,2025-03-20T00:00:00,2023,74.8607
2023,A,0,data provided by WB Economists.,Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,24,PT,2025-03-20T00:00:00,2023,73.4803
