Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,24,Y_GE15,PT,2025-03-15T00:00:00,2024,-0.32
2001,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,24,Y_GE15,PT,2025-03-15T00:00:00,2024,0.65
2002,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,24,Y_GE15,PT,2025-03-15T00:00:00,2024,9.43
2003,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,24,Y_GE15,PT,2025-03-15T00:00:00,2024,-0.67
2004,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,24,Y_GE15,PT,2025-03-15T00:00:00,2024,6.75
2005,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,24,Y_GE15,PT,2025-03-15T00:00:00,2024,10.78
2006,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,24,Y_GE15,PT,2025-03-15T00:00:00,2024,7.24
2007,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,24,Y_GE15,PT,2025-03-15T00:00:00,2024,9.71
2008,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,24,Y_GE15,PT,2025-03-15T00:00:00,2024,7.14
2009,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,24,Y_GE15,PT,2025-03-15T00:00:00,2024,-2.64
2010,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,24,Y_GE15,PT,2025-03-15T00:00:00,2024,0.7
2011,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,24,Y_GE15,PT,2025-03-15T00:00:00,2024,-0.35
2012,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,24,Y_GE15,PT,2025-03-15T00:00:00,2024,4.55
2013,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,24,Y_GE15,PT,2025-03-15T00:00:00,2024,1.31
2014,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,24,Y_GE15,PT,2025-03-15T00:00:00,2024,1.33
2015,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,24,Y_GE15,PT,2025-03-15T00:00:00,2024,-2.08
2016,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,24,Y_GE15,PT,2025-03-15T00:00:00,2024,-5.54
2017,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,24,Y_GE15,PT,2025-03-15T00:00:00,2024,-3.27
2018,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,24,Y_GE15,PT,2025-03-15T00:00:00,2024,-4.41
2019,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,24,Y_GE15,PT,2025-03-15T00:00:00,2024,-3.89
2020,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,24,Y_GE15,PT,2025-03-15T00:00:00,2024,-8.26
2021,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,24,Y_GE15,PT,2025-03-15T00:00:00,2024,-5.28
2022,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,24,Y_GE15,PT,2025-03-15T00:00:00,2024,0.3
2023,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,24,Y_GE15,PT,2025-03-15T00:00:00,2024,-2.63
2024,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,24,Y_GE15,PT,2025-03-15T00:00:00,2024,-1.08
