Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2004,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_MANF,24,ISIC4_C,PT,2025-02-27T00:00:00,2022,3.03
2009,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_MANF,24,ISIC4_C,PT,2025-02-27T00:00:00,2022,2.09
2010,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_MANF,24,ISIC4_C,PT,2025-02-27T00:00:00,2022,2.37
2011,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_MANF,24,ISIC4_C,PT,2025-02-27T00:00:00,2022,2.34
2014,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_MANF,24,ISIC4_C,PT,2025-02-27T00:00:00,2022,1.25
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_MANF,24,ISIC4_C,PT,2025-02-27T00:00:00,2022,2.55
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_MANF,24,ISIC4_C,PT,2025-02-27T00:00:00,2022,2.07
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_MANF,24,ISIC4_C,PT,2025-02-27T00:00:00,2022,2.47
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_MANF_19ICLS,24,ISIC4_C,PT,2025-02-27T00:00:00,2022,2.88
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_MANF_19ICLS,24,ISIC4_C,PT,2025-02-27T00:00:00,2022,2.3
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_MANF_19ICLS,24,ISIC4_C,PT,2025-02-27T00:00:00,2022,2.73
