Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,CUST_BREAKDOWN,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,CUST_BREAKDOWN_LB,Value
2023,A,0,Regional Seas / World Environment Situation Room,EN_SCP_ECSYBA,24,None,None,NUMBER,2025-03-27T00:00:00,2023,,1
2023,A,0,Regional Seas / World Environment Situation Room,EN_SCP_ECSYBA,24,C01,LI_IMP_ADMNG,NUMBER,2025-03-27T00:00:00,2023,"PLANO DE ORDENAMENTO DO ESPAÃ‡O MARINHO (2023), https://www.mspglobal2030.org/msp-roadmap/msp-around-the-world/africa/angola/",1
