Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2009,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,24,None,None,NUMBER,2025-03-13T00:00:00,2022,15.0
2010,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,24,None,None,NUMBER,2025-03-13T00:00:00,2022,7.0
2017,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,24,None,None,NUMBER,2025-03-13T00:00:00,2022,27.0
2018,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,24,None,None,NUMBER,2025-03-13T00:00:00,2022,5.0
2019,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,24,None,None,NUMBER,2025-03-13T00:00:00,2022,10.0
2020,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,24,None,None,NUMBER,2025-03-13T00:00:00,2022,8.0
2021,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,24,None,None,NUMBER,2025-03-13T00:00:00,2022,12.0
2022,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,24,None,None,NUMBER,2025-03-13T00:00:00,2022,18.0
2017,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,24,None,Y_GE18,NUMBER,2025-03-13T00:00:00,2022,10.0
2022,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,24,None,Y_GE18,NUMBER,2025-03-13T00:00:00,2022,18.0
2009,A,0,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,24,None,Y0T17,NUMBER,2025-03-13T00:00:00,2022,15.0
2017,A,0,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,24,None,Y0T17,NUMBER,2025-03-13T00:00:00,2022,17.0
2018,A,0,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,24,None,Y0T17,NUMBER,2025-03-13T00:00:00,2022,5.0
