Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,24,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,58.29
2001,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,24,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,56.8
2002,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,24,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,66.83
2003,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,24,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,67.73
2004,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,24,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,74.26
2005,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,24,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,84.85
2006,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,24,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,93.88
2007,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,24,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,108.41
2008,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,24,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,118.13
2009,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,24,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,117.21
2010,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,24,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,124.5
2011,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,24,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,129.98
2012,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,24,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,143.19
2013,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,24,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,149.7
2014,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,24,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,151.82
2015,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,24,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,149.21
2016,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,24,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,143.79
2017,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,24,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,142.53
2018,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,24,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,144.16
2019,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,24,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,144.31
2020,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,24,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,133.51
2021,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,24,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,133.88
2022,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,24,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,133.45
2000,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,24,ISIC4_A01_A0210_A0322,USD_PER_M3,2025-03-21T00:00:00,2018-2022,0.12
2001,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,24,ISIC4_A01_A0210_A0322,USD_PER_M3,2025-03-21T00:00:00,2018-2022,0.17
2002,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,24,ISIC4_A01_A0210_A0322,USD_PER_M3,2025-03-21T00:00:00,2018-2022,0.13
2003,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,24,ISIC4_A01_A0210_A0322,USD_PER_M3,2025-03-21T00:00:00,2018-2022,0.13
2004,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,24,ISIC4_A01_A0210_A0322,USD_PER_M3,2025-03-21T00:00:00,2018-2022,0.13
2005,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,24,ISIC4_A01_A0210_A0322,USD_PER_M3,2025-03-21T00:00:00,2018-2022,0.1
2006,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,24,ISIC4_A01_A0210_A0322,USD_PER_M3,2025-03-21T00:00:00,2018-2022,0.12
2007,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,24,ISIC4_A01_A0210_A0322,USD_PER_M3,2025-03-21T00:00:00,2018-2022,0.14
2008,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,24,ISIC4_A01_A0210_A0322,USD_PER_M3,2025-03-21T00:00:00,2018-2022,0.14
2009,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,24,ISIC4_A01_A0210_A0322,USD_PER_M3,2025-03-21T00:00:00,2018-2022,0.19
2010,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,24,ISIC4_A01_A0210_A0322,USD_PER_M3,2025-03-21T00:00:00,2018-2022,0.19
2011,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,24,ISIC4_A01_A0210_A0322,USD_PER_M3,2025-03-21T00:00:00,2018-2022,0.18
2012,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,24,ISIC4_A01_A0210_A0322,USD_PER_M3,2025-03-21T00:00:00,2018-2022,0.21
2013,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,24,ISIC4_A01_A0210_A0322,USD_PER_M3,2025-03-21T00:00:00,2018-2022,0.23
2014,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,24,ISIC4_A01_A0210_A0322,USD_PER_M3,2025-03-21T00:00:00,2018-2022,0.28
2015,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,24,ISIC4_A01_A0210_A0322,USD_PER_M3,2025-03-21T00:00:00,2018-2022,0.35
