Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,United Nations Human Settlements Programme (UN-HABITAT),EN_LND_SLUM,24,U,PT,2025-06-25T00:00:00,2022,19.7
2002,A,0,United Nations Human Settlements Programme (UN-HABITAT),EN_LND_SLUM,24,U,PT,2025-06-25T00:00:00,2022,19.7
2004,A,0,United Nations Human Settlements Programme (UN-HABITAT),EN_LND_SLUM,24,U,PT,2025-06-25T00:00:00,2022,19.66039
2006,A,0,United Nations Human Settlements Programme (UN-HABITAT),EN_LND_SLUM,24,U,PT,2025-06-25T00:00:00,2022,25.79191
2008,A,0,United Nations Human Settlements Programme (UN-HABITAT),EN_LND_SLUM,24,U,PT,2025-06-25T00:00:00,2022,31.92344
2010,A,0,United Nations Human Settlements Programme (UN-HABITAT),EN_LND_SLUM,24,U,PT,2025-06-25T00:00:00,2022,38.05496
2012,A,0,United Nations Human Settlements Programme (UN-HABITAT),EN_LND_SLUM,24,U,PT,2025-06-25T00:00:00,2022,44.18648
2014,A,0,United Nations Human Settlements Programme (UN-HABITAT),EN_LND_SLUM,24,U,PT,2025-06-25T00:00:00,2022,50.31801
2016,A,0,United Nations Human Settlements Programme (UN-HABITAT),EN_LND_SLUM,24,U,PT,2025-06-25T00:00:00,2022,56.44953
2018,A,0,United Nations Human Settlements Programme (UN-HABITAT),EN_LND_SLUM,24,U,PT,2025-06-25T00:00:00,2022,62.58105
2020,A,0,United Nations Human Settlements Programme (UN-HABITAT),EN_LND_SLUM,24,U,PT,2025-06-25T00:00:00,2022,62.6
2022,A,0,United Nations Human Settlements Programme (UN-HABITAT),EN_LND_SLUM,24,U,PT,2025-06-25T00:00:00,2022,62.7
