Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,12.4,4.8,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,24,None,PER_100000_POP,2025-03-13T00:00:00,2021,9.1
2005,A,0,12.4,4.8,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,24,None,PER_100000_POP,2025-03-13T00:00:00,2021,8.3
2010,A,0,12.4,4.8,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,24,None,PER_100000_POP,2025-03-13T00:00:00,2021,6.9
2015,A,0,12.4,4.8,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,24,None,PER_100000_POP,2025-03-13T00:00:00,2021,6.6
2019,A,0,12.4,4.8,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,24,None,PER_100000_POP,2025-03-13T00:00:00,2021,7.5
2020,A,0,12.4,4.8,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,24,None,PER_100000_POP,2025-03-13T00:00:00,2021,7.4
2021,A,0,12.4,4.8,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,24,None,PER_100000_POP,2025-03-13T00:00:00,2021,8.1
2000,A,0,6.3,2.1,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,24,F,PER_100000_POP,2025-03-13T00:00:00,2021,3.6
2005,A,0,6.3,2.1,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,24,F,PER_100000_POP,2025-03-13T00:00:00,2021,3.6
2010,A,0,6.3,2.1,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,24,F,PER_100000_POP,2025-03-13T00:00:00,2021,2.9
2015,A,0,6.3,2.1,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,24,F,PER_100000_POP,2025-03-13T00:00:00,2021,2.8
2019,A,0,6.3,2.1,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,24,F,PER_100000_POP,2025-03-13T00:00:00,2021,3.4
2020,A,0,6.3,2.1,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,24,F,PER_100000_POP,2025-03-13T00:00:00,2021,3.4
2021,A,0,6.3,2.1,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,24,F,PER_100000_POP,2025-03-13T00:00:00,2021,3.9
2000,A,0,18.6,7.4,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,24,M,PER_100000_POP,2025-03-13T00:00:00,2021,14.8
2005,A,0,18.6,7.4,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,24,M,PER_100000_POP,2025-03-13T00:00:00,2021,13.2
2010,A,0,18.6,7.4,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,24,M,PER_100000_POP,2025-03-13T00:00:00,2021,11.0
2015,A,0,18.6,7.4,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,24,M,PER_100000_POP,2025-03-13T00:00:00,2021,10.5
2019,A,0,18.6,7.4,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,24,M,PER_100000_POP,2025-03-13T00:00:00,2021,11.7
2020,A,0,18.6,7.4,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,24,M,PER_100000_POP,2025-03-13T00:00:00,2021,11.5
2021,A,0,18.6,7.4,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,24,M,PER_100000_POP,2025-03-13T00:00:00,2021,12.5
