Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,BASE_PER,Value
2000,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,24,None,T,2025-02-19T00:00:00,2022,,4.63
2001,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,24,None,T,2025-02-19T00:00:00,2022,,5.03
2002,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,24,None,T,2025-02-19T00:00:00,2022,,5.5
2003,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,24,None,T,2025-02-19T00:00:00,2022,,7.07
2004,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,24,None,T,2025-02-19T00:00:00,2022,,7.73
2005,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,24,None,T,2025-02-19T00:00:00,2022,,5.98
2006,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,24,None,T,2025-02-19T00:00:00,2022,,8.03
2007,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,24,None,T,2025-02-19T00:00:00,2022,,9.68
2008,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,24,None,T,2025-02-19T00:00:00,2022,,11.68
2009,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,24,None,T,2025-02-19T00:00:00,2022,,13.87
2010,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,24,None,T,2025-02-19T00:00:00,2022,,14.29
2011,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,24,None,T,2025-02-19T00:00:00,2022,,15.16
