Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,Officially reported data,FAO. Global Forest Resources Assessment 2020,AG_LND_FRSTBIOPHA,24,T_PER_HA,2025-03-21T00:00:00,2020,30.3
2010,A,0,Officially reported data,FAO. Global Forest Resources Assessment 2020,AG_LND_FRSTBIOPHA,24,T_PER_HA,2025-03-21T00:00:00,2020,30.3
2015,A,0,Officially reported data,FAO. Global Forest Resources Assessment 2020,AG_LND_FRSTBIOPHA,24,T_PER_HA,2025-03-21T00:00:00,2020,30.3
2016,A,0,Officially reported data,FAO. Global Forest Resources Assessment 2020,AG_LND_FRSTBIOPHA,24,T_PER_HA,2025-03-21T00:00:00,2020,30.3
2017,A,0,Officially reported data,FAO. Global Forest Resources Assessment 2020,AG_LND_FRSTBIOPHA,24,T_PER_HA,2025-03-21T00:00:00,2020,30.3
2018,A,0,Officially reported data,FAO. Global Forest Resources Assessment 2020,AG_LND_FRSTBIOPHA,24,T_PER_HA,2025-03-21T00:00:00,2020,30.3
2019,A,0,Officially reported data,FAO. Global Forest Resources Assessment 2020,AG_LND_FRSTBIOPHA,24,T_PER_HA,2025-03-21T00:00:00,2020,30.3
2020,A,0,Officially reported data,FAO. Global Forest Resources Assessment 2020,AG_LND_FRSTBIOPHA,24,T_PER_HA,2025-03-21T00:00:00,2020,30.3
2000,A,3,No certified forest area,No data on certified forest area in the FSC and PEFC records,AG_LND_FRSTCERT,24,HA,2025-03-21T00:00:00,2023,0.0
2005,A,3,No certified forest area,No data on certified forest area in the FSC and PEFC records,AG_LND_FRSTCERT,24,HA,2025-03-21T00:00:00,2023,0.0
2010,A,3,No certified forest area,No data on certified forest area in the FSC and PEFC records,AG_LND_FRSTCERT,24,HA,2025-03-21T00:00:00,2023,0.0
2015,A,3,No certified forest area,No data on certified forest area in the FSC and PEFC records,AG_LND_FRSTCERT,24,HA,2025-03-21T00:00:00,2023,0.0
2016,A,3,No certified forest area,No data on certified forest area in the FSC and PEFC records,AG_LND_FRSTCERT,24,HA,2025-03-21T00:00:00,2023,0.0
2017,A,3,No certified forest area,No data on certified forest area in the FSC and PEFC records,AG_LND_FRSTCERT,24,HA,2025-03-21T00:00:00,2023,0.0
2018,A,3,No certified forest area,No data on certified forest area in the FSC and PEFC records,AG_LND_FRSTCERT,24,HA,2025-03-21T00:00:00,2023,0.0
2019,A,3,No certified forest area,No data on certified forest area in the FSC and PEFC records,AG_LND_FRSTCERT,24,HA,2025-03-21T00:00:00,2023,0.0
2020,A,3,No certified forest area,No data on certified forest area in the FSC and PEFC records,AG_LND_FRSTCERT,24,HA,2025-03-21T00:00:00,2023,0.0
2021,A,3,No certified forest area,No data on certified forest area in the FSC and PEFC records,AG_LND_FRSTCERT,24,HA,2025-03-21T00:00:00,2023,0.0
2022,A,3,No certified forest area,No data on certified forest area in the FSC and PEFC records,AG_LND_FRSTCERT,24,HA,2025-03-21T00:00:00,2023,0.0
2023,A,3,No certified forest area,No data on certified forest area in the FSC and PEFC records,AG_LND_FRSTCERT,24,HA,2025-03-21T00:00:00,2023,0.0
2010,A,0,Officially reported data,FAO. Global Forest Resources Assessment 2020,AG_LND_FRSTCHG,24,PT,2025-03-21T00:00:00,2010-2020,-0.74
2020,A,0,Officially reported data,FAO. Global Forest Resources Assessment 2020,AG_LND_FRSTCHG,24,PT,2025-03-21T00:00:00,2010-2020,-0.8
2000,A,0,Official country data,FAO. Global Forest Resources Assessment 2020,AG_LND_FRSTMGT,24,PT,2025-03-21T00:00:00,2020,0.0
2010,A,0,Official country data,FAO. Global Forest Resources Assessment 2020,AG_LND_FRSTMGT,24,PT,2025-03-21T00:00:00,2020,0.0
2015,A,0,Official country data,FAO. Global Forest Resources Assessment 2020,AG_LND_FRSTMGT,24,PT,2025-03-21T00:00:00,2020,0.0
2016,A,0,Official country data,FAO. Global Forest Resources Assessment 2020,AG_LND_FRSTMGT,24,PT,2025-03-21T00:00:00,2020,0.0
2017,A,0,Official country data,FAO. Global Forest Resources Assessment 2020,AG_LND_FRSTMGT,24,PT,2025-03-21T00:00:00,2020,0.0
2018,A,0,Official country data,FAO. Global Forest Resources Assessment 2020,AG_LND_FRSTMGT,24,PT,2025-03-21T00:00:00,2020,0.0
2019,A,0,Official country data,FAO. Global Forest Resources Assessment 2020,AG_LND_FRSTMGT,24,PT,2025-03-21T00:00:00,2020,0.0
2020,A,0,Official country data,FAO. Global Forest Resources Assessment 2020,AG_LND_FRSTMGT,24,PT,2025-03-21T00:00:00,2020,0.0
2000,A,0,Official country data,FAO. Global Forest Resources Assessment 2020,AG_LND_FRSTPRCT,24,PT,2025-03-21T00:00:00,2020,2.68
2010,A,0,Official country data,FAO. Global Forest Resources Assessment 2020,AG_LND_FRSTPRCT,24,PT,2025-03-21T00:00:00,2020,2.68
2015,A,0,Official country data,FAO. Global Forest Resources Assessment 2020,AG_LND_FRSTPRCT,24,PT,2025-03-21T00:00:00,2020,2.68
2016,A,0,Official country data,FAO. Global Forest Resources Assessment 2020,AG_LND_FRSTPRCT,24,PT,2025-03-21T00:00:00,2020,2.68
2017,A,0,Official country data,FAO. Global Forest Resources Assessment 2020,AG_LND_FRSTPRCT,24,PT,2025-03-21T00:00:00,2020,2.68
2018,A,0,Official country data,FAO. Global Forest Resources Assessment 2020,AG_LND_FRSTPRCT,24,PT,2025-03-21T00:00:00,2020,2.68
2019,A,0,Official country data,FAO. Global Forest Resources Assessment 2020,AG_LND_FRSTPRCT,24,PT,2025-03-21T00:00:00,2020,2.68
2020,A,0,Official country data,FAO. Global Forest Resources Assessment 2020,AG_LND_FRSTPRCT,24,PT,2025-03-21T00:00:00,2020,2.68
